,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Concepte,Rang_soroll,Valor,Lloguer_mitja_mensual,Lloguer_mitja_m2
194,4,Les Corts,20,la Maternitat i Sant Ramon,TOTAL_D,55-60 dB,15.69,921.15,13.34
195,4,Les Corts,20,la Maternitat i Sant Ramon,TOTAL_D,60-65 dB,20.72,921.15,13.34
196,4,Les Corts,20,la Maternitat i Sant Ramon,TOTAL_D,65-70 dB,12.7,921.15,13.34
197,4,Les Corts,20,la Maternitat i Sant Ramon,TOTAL_D,70-75 dB,8.48,921.15,13.34
198,4,Les Corts,20,la Maternitat i Sant Ramon,TOTAL_D,75-80 dB,0.0,921.15,13.34
199,4,Les Corts,20,la Maternitat i Sant Ramon,TOTAL_D,>=80 dB,0.0,921.15,13.34
200,4,Les Corts,21,Pedralbes,TOTAL_D,<40 dB,0.69,1785.88,16.14
201,4,Les Corts,21,Pedralbes,TOTAL_D,40-45 dB,5.64,1785.88,16.14
202,4,Les Corts,21,Pedralbes,TOTAL_D,45-50 dB,7.32,1785.88,16.14
203,4,Les Corts,21,Pedralbes,TOTAL_D,50-55 dB,13.72,1785.88,16.14
204,4,Les Corts,21,Pedralbes,TOTAL_D,55-60 dB,31.0,1785.88,16.14
205,4,Les Corts,21,Pedralbes,TOTAL_D,60-65 dB,23.91,1785.88,16.14
206,4,Les Corts,21,Pedralbes,TOTAL_D,65-70 dB,12.96,1785.88,16.14
207,4,Les Corts,21,Pedralbes,TOTAL_D,70-75 dB,4.76,1785.88,16.14
208,4,Les Corts,21,Pedralbes,TOTAL_D,75-80 dB,0.0,1785.88,16.14
209,4,Les Corts,21,Pedralbes,TOTAL_D,>=80 dB,0.0,1785.88,16.14
210,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",TOTAL_D,<40 dB,29.15,1231.01,16.66
211,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",TOTAL_D,40-45 dB,18.34,1231.01,16.66
212,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",TOTAL_D,45-50 dB,18.41,1231.01,16.66
213,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",TOTAL_D,50-55 dB,12.75,1231.01,16.66
214,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",TOTAL_D,55-60 dB,8.7,1231.01,16.66
215,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",TOTAL_D,60-65 dB,6.53,1231.01,16.66
216,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",TOTAL_D,65-70 dB,5.03,1231.01,16.66
217,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",TOTAL_D,70-75 dB,1.09,1231.01,16.66
218,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",TOTAL_D,75-80 dB,0.0,1231.01,16.66
219,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",TOTAL_D,>=80 dB,0.0,1231.01,16.66
220,5,Sarrià-Sant Gervasi,23,Sarrià,TOTAL_D,<40 dB,3.57,1353.54,17.45
221,5,Sarrià-Sant Gervasi,23,Sarrià,TOTAL_D,40-45 dB,18.27,1353.54,17.45
222,5,Sarrià-Sant Gervasi,23,Sarrià,TOTAL_D,45-50 dB,13.17,1353.54,17.45
223,5,Sarrià-Sant Gervasi,23,Sarrià,TOTAL_D,50-55 dB,16.56,1353.54,17.45
224,5,Sarrià-Sant Gervasi,23,Sarrià,TOTAL_D,55-60 dB,22.03,1353.54,17.45
225,5,Sarrià-Sant Gervasi,23,Sarrià,TOTAL_D,60-65 dB,14.55,1353.54,17.45
